TEST;T_SEQ;T_PAR2;SPEEDUP2;T_PAR4;SPEEDUP4;T_PAR6;SPEEDUP6;T_PAR8;SPEEDUP8;T_PAR10;SPEEDUP10;T_PAR12;SPEEDUP12;T_PAR14;SPEEDUP14;T_PAR16;SPEEDUP16;
100;3.318;1.720;1.929;0.878;3.779;0.711;4.667;0.650;5.105;0.527;6.296;0.458;7.245;0.416;7.976;0.393;8.443;
200;6.632;3.589;1.848;1.813;3.658;1.430;4.638;1.189;5.578;1.050;6.316;0.957;6.930;0.843;7.867;0.807;8.218;
300;10.956;6.557;1.671;3.208;3.415;2.462;4.450;1.947;5.627;1.679;6.525;1.547;7.082;1.427;7.678;1.398;7.837;
400;17.155;10.640;1.612;5.322;3.223;3.866;4.437;3.136;5.470;2.700;6.354;2.504;6.851;2.322;7.388;2.318;7.401;
500;21.346;15.332;1.392;7.970;2.678;5.535;3.857;4.304;4.960;3.698;5.772;3.208;6.654;3.013;7.085;3.031;7.043;
600;25.851;19.634;1.317;10.160;2.544;7.024;3.680;5.712;4.526;4.822;5.361;4.258;6.071;3.832;6.746;3.859;6.699;
700;31.385;24.102;1.302;12.424;2.526;8.720;3.599;6.634;4.731;5.495;5.712;4.941;6.352;4.715;6.656;4.722;6.647;
800;34.370;27.248;1.261;14.290;2.405;10.078;3.410;7.812;4.400;6.529;5.264;5.786;5.940;5.496;6.254;5.854;5.871;
900;41.504;31.711;1.309;16.175;2.566;11.133;3.728;8.686;4.778;7.270;5.709;6.707;6.188;6.302;6.586;6.968;5.956;
1000;44.755;33.514;1.335;17.992;2.487;12.831;3.488;10.013;4.470;8.354;5.357;7.653;5.848;7.131;6.276;7.986;5.604;
