TEST;T_SEQ;T_PAR2;SPEEDUP2;T_PAR4;SPEEDUP4;T_PAR6;SPEEDUP6;T_CUDA;SPEEDUP_CUDA;T_CUDA_COLOR;SPEEDUP_CUDA_COLOR
1000;0.780;0.384;2.033;0.200;3.893;0.165;4.738;0.048;16.158;0.064;12.210
2000;3.014;1.521;1.982;0.770;3.912;0.550;5.476;0.071;42.179;0.120;25.071
3000;4.565;2.352;1.940;1.408;3.241;0.943;4.838;0.097;47.011;0.235;19.449
4000;6.146;3.296;1.865;1.951;3.151;1.636;3.756;0.129;47.755;0.248;24.734
5000;7.724;4.325;1.786;2.766;2.793;2.271;3.402;0.171;45.156;0.383;20.184
6000;9.769;6.204;1.575;3.925;2.489;3.200;3.053;0.204;47.788;0.462;21.162
7000;11.919;7.662;1.556;5.043;2.363;4.074;2.926;0.224;53.162;0.538;22.146
8000;14.224;9.521;1.494;6.276;2.266;5.201;2.735;0.256;55.514;0.633;22.480
9000;16.851;11.076;1.521;7.694;2.190;6.183;2.725;0.288;58.433;0.690;24.418
10000;19.802;12.985;1.525;9.094;2.178;7.218;2.743;0.321;61.771;0.765;25.900
