test;tSeq;tPar2;speedUp2;tPar4;speedUp4;tPar6;speedUp6;tCuda;speedUpCuda
100;1.341;0.655;2.046;0.338;3.972;0.270;4.972;0.074;18.184
200;2.693;1.330;2.025;0.683;3.946;0.490;5.499;0.115;23.381
300;4.075;2.018;2.020;1.049;3.884;0.793;5.139;0.176;23.210
400;5.605;2.874;1.950;1.444;3.881;1.121;4.998;0.203;27.616
500;6.994;3.642;1.920;1.838;3.806;1.385;5.051;0.253;27.671
600;8.499;4.455;1.908;2.234;3.805;1.743;4.877;0.308;27.554
700;10.013;5.342;1.874;2.797;3.580;2.234;4.483;0.363;27.547
800;11.547;6.288;1.836;3.479;3.319;2.842;4.063;0.407;28.360
900;13.657;7.903;1.728;4.245;3.217;3.157;4.326;0.469;29.092
1000;16.040;10.133;1.583;5.334;3.007;4.339;3.697;0.512;31.350
