TEST;T_SEQ;T_PAR2;SPEEDUP2;T_PAR4;SPEEDUP4;T_PAR6;SPEEDUP6;T_CUDA;SPEEDUP_CUDA;T_CUDA_COLOR;SPEEDUP_CUDA_COLOR
1000;0.834;0.401;2.082;0.203;4.118;0.157;5.328;0.047;17.637;0.065;12.759
2000;2.999;1.519;1.975;0.793;3.783;0.677;4.430;0.099;30.228;0.125;24.003
3000;4.598;2.366;1.943;1.314;3.499;0.961;4.784;0.097;47.364;0.231;19.943
4000;6.158;3.270;1.883;2.134;2.886;1.720;3.581;0.128;48.057;0.258;23.881
5000;7.817;4.683;1.669;3.926;1.991;2.679;2.918;0.159;49.019;0.393;19.915
6000;9.562;5.900;1.621;3.961;2.414;3.424;2.793;0.191;49.991;0.460;20.801
7000;11.885;7.745;1.535;5.133;2.315;4.331;2.744;0.223;53.262;0.539;22.049
8000;13.981;10.980;1.273;6.757;2.069;5.379;2.599;0.257;54.454;0.638;21.915
9000;17.192;11.478;1.498;7.817;2.199;6.787;2.533;0.289;59.534;0.689;24.945
10000;21.134;13.407;1.576;8.996;2.349;7.515;2.812;0.321;65.859;0.767;27.564
